Company_Name,Year,Service_Area_Urban_Square_Kilometers,Service_Area_Rural_Square_Kilometers,Service_Area_Total_Square_Kilometers,Winter_Peak_Load_With_Embedded_Generation_kW,Summer_Peak_Load_With_Embedded_Generation_kW,Average_Peak_Load_With_Embedded_Generation_kW,Average_Load_Factor_With_Embedded_Generation_Percentage,Winter_Peak_Load_Without_Embedded_Generation_kW,Summer_Peak_Load_Without_Embedded_Generation_kW,Average_Peak_Load_Without_Embedded_Generation_kW,Average_Load_Factor_Without_Embedded_Generation_Percentage,Primary_Overhead_Circuit_Kilometers_of_Line,Secondary_Overhead_Circuit_Kilometers_of_Line,Total_Overhead_Circuit_Kilometers_of_Line,Primary_Underground_Circuit_Kilometers_of_Line,Secondary_Underground_Circuit_Kilometers_of_Line,Total_Underground_Circuit_Kilometers_of_Line,Total_Primary_Circuit_Kilometers_of_Line,Total_Secondary_Circuit_Kilometers_of_Line,Total_Circuit_Kilometers_of_Line
Hydro 2000 Inc.,2015,9,0,9,5587,3625,3872,69.3037408269196,5587,3625,3872,69.3037408269196,,,18,,,3,,,21
Hydro 2000 Inc.,2016,9,0,9,5590,3730,3922,70.1610017889088,5590,3730,392,7.01252236135957,,,18,,,3,,,21
Hydro 2000 Inc.,2017,9,0,9,5590,3883,3672,65.6887298747764,5590,3883,3672,65.6887298747764,,,18,,,3,,,21
Hydro 2000 Inc.,2018,9,0,9,5467,4025,3794,69.3982074263764,5467,4025,3794,69.3982074263764,,,18,,,3,,,21
Hydro 2000 Inc.,2019,9,0,9,5210,3329,3694,70.9021113243762,5210,3329,3694,70.9021113243762,18,,18,3,,3,21,0,21
Hydro 2000 Inc.,2020,9,0,9,4873,3748,3714,76.2158834393597,4873,3748,3714,76.2158834393597,18,,18,3,,3,21,0,21
Hydro 2000 Inc.,2021,9,0,9,4500,3614,3574,79.4222222222222,4500,3614,3574,79.4222222222222,18,,18,3,,3,21,0,21
Hydro Hawkesbury Inc.,2015,8,0,8,33170,28983,25440,76.6958094663853,33265,29078,25529,76.7443258680295,,,57,,,11,,,68
Hydro Hawkesbury Inc.,2016,8,0,8,30783,29664,26507,86.1092161257837,30875,29776,26605,86.17004048583,,,57,,,12,,,69
Hydro Hawkesbury Inc.,2017,8,0,8,27794,25414,23955,86.1876664028208,27873,25543,24046,86.2698668962796,,,57,,,12,,,69
Hydro Hawkesbury Inc.,2018,8,0,8,28621,28259,24663,86.1709933265784,28648,28377,24753,86.4039374476403,,,57,,,13,,,70
Hydro Hawkesbury Inc.,2019,8,0,8,29923,24174,23800,79.5374795307957,29941,24267,23882,79.7635349520724,57,,57,14,,14,71,0,71
Hydro Hawkesbury Inc.,2020,8,0,8,28169,26759,23695,84.117292058646,28271,26888,23786,84.1356867461356,57,,57,14,,14,71,0,71
Hydro Hawkesbury Inc.,2021,8,0,8,26503,24789,23375,88.1975625400898,26588,24881,23459,88.2315330224161,57,,57,15,,15,72,0,72
Hydro One Networks Inc.,2015,833,961339,962172,6650096,5915270,5688241,85.5362238379717,6817293,6113858,5891874,86.4254184175449,,,114363,,,9630,,,123993
Hydro One Networks Inc.,2016,1046.3,963104,964150.3,5700641,5987200,5406290,90.2974679315874,5923452,6212849,5659855,91.0991881502351,,,115552,,,9606,,,125158
Hydro One Networks Inc.,2017,989.3,960604,961593.3,5541464,5360324,4980785,89.8821141849879,5714379,5591466,5214465,91.2516478168494,,,114310,,,9622,,,123932
Hydro One Networks Inc.,2018,989.3,960604,961593.3,6004415,5714328,5347816,89.0647298696043,6195149,6023508,5559789,89.744233754507,,,114175,,,9817,,,123992
Hydro One Networks Inc.,2019,1004,960174,961178,6479182,5976813,5561480,85.8361441305399,6664585,6232095,5797316,86.9869016600433,113947,,113947,10009,,10009,123956,0,123956
Hydro One Networks Inc.,2020,1004.67,960153,961157.67,6375564,6700884,5776463,86.2044918252577,6572050,6962402,6034937,86.6789507414252,114035,,114035,10275,,10275,124310,0,124310
Hydro One Networks Inc.,2021,999.02,960155.77,961154.79,6227989,6354683,5742235,90.3622572518566,6419787,6572161,5974030,90.8990208852157,114124,,114124,10432,,10432,124556,0,124556
Hydro Ottawa Limited,2015,454,650,1104,1201968,1374915,1143884,83.1967067055054,1215721,1405596,1163137,82.7504489198888,,,2723,,,2849,,,5572
Hydro Ottawa Limited,2016,454,662,1116,1193901,1391443,1178361,84.6862573601649,1202154,1418089,1198045,84.4830613593364,,,2721,,,2887,,,5608
Hydro Ottawa Limited,2017,454,662,1116,1187581,1360318,1151353,84.6385183464455,1225591,1378852,1176581,85.3304778177788,,,2732,,,2980,,,5712
Hydro Ottawa Limited,2018,454,662,1116,1227143,1441369,1151437,79.8849565933498,1262204,1489933,1193846,80.1274956659125,,,2745,,,3022,,,5767
Hydro Ottawa Limited,2019,454,662,1116,1257219,1348215,1093533,81.1096894783102,1292973,1400163,1130687,80.7539550752305,2742,,2742,3094,,3094,5836,0,5836
Hydro Ottawa Limited,2020,454,662,1116,1138554,1437824,1100981,76.5727237826048,1190530,1506449,,,2746,,2746,3167,,3167,5913,0,5913
Hydro Ottawa Limited,2021,454,662,1116,1069032,1358319,1076935,79.2843949028174,1121485,1414376,1134383,80.2037789102756,2766,,2766,3234,,3234,6000,0,6000
Innpower Corporation,2015,73,219,292,50975,50214,44523,87.3428151054439,51737,51072,45342,87.6394070007925,,,660,,,173,,,833
Innpower Corporation,2016,75,217,292,49363,52172,45584,87.3725369930231,51029,54100,47288,87.4085027726433,,,660,,,183,,,843
Innpower Corporation,2017,77,215,292,50927,51036,44231,86.6662747864253,52052,53027,46012,86.7708903011673,,,662,,,200,,,862
Innpower Corporation,2018,77,215,292,52732,58965,49084,83.2426015432884,54272,61255,51120,83.4544118847441,,,662,,,217,,,879
Innpower Corporation,2019,77,215,292,54784,59938,46996,78.407687944209,56198,62245,49057,78.8127560446622,614,223,837,182,436,618,796,659,1455
Innpower Corporation,2020,77,215,292,51178,65476,50379,76.9426965605718,52210,67555,52303,77.4228406483606,631,224,855,173,436,609,804,660,1464
Innpower Corporation,2021,77,215,292,52272,62170,49883,80.2364484478044,53908,64276,51846,80.6615221855747,631,224,855,173,436,609,804,660,1464
Kingston Hydro Corporation,2015,35,0,35,131752,114395,110163,83.6139109842735,130791,114613,111816,85.4921210175012,,,231,,,125,,,356
Kingston Hydro Corporation,2016,35.7,0,35.7,122976,117441,110546,89.8923367161072,122976,119823,112049,91.1145264116576,,,226,,,110,,,336
Kingston Hydro Corporation,2017,35.7,0,35.7,117931,108712,104963,89.0037394747776,117931,113741,106317,90.1518684654586,,,226,,,108,,,334
Kingston Hydro Corporation,2018,35.7,0,35.7,126565,114960,107506,84.9413344921582,128887,122301,110339,85.6090994436987,,,226,,,108,,,334
Kingston Hydro Corporation,2019,36.6,0,36.6,126161,109499,106267,84.2312600565944,129362,111979,107546,83.1356967270141,227,,227,108,,108,335,0,335
Kingston Hydro Corporation,2020,36.6,0,36.6,114474,115637,101296,87.5982600724682,114474,116108,102619,88.3823681400076,227,,227,108,,108,335,0,335
Kingston Hydro Corporation,2021,36.6,0,36.6,111668,108785,99795,89.3675896407207,111668,118606,101988,85.9889044399103,227,,227,107,,107,334,0,334
Kitchener-Wilmot Hydro Inc.,2015,125,284,409,293132,328007,284684,86.792050169661,296944,334638,289582,86.5358984932972,,,1012,,,906,,,1918
Kitchener-Wilmot Hydro Inc.,2016,125,284,409,293555,360767,293626,81.3893731965507,297533,366361,298581,81.4991224502608,,,1017,,,931,,,1948
Kitchener-Wilmot Hydro Inc.,2017,125,300,425,279305,329672,277081,84.0474774927807,283575,334651,282114,84.3009583117935,,,1018,,,950,,,1968
Kitchener-Wilmot Hydro Inc.,2018,125,300,425,283066,370688,298443,80.5105641401934,286778,376100,302966,80.5546397234778,,,1013,,,961,,,1974
Kitchener-Wilmot Hydro Inc.,2019,125,300,425,295990,342588,281833,82.265870374911,299584,348430,286356,82.1846568894757,1010,,1010,970,,970,1980,0,1980
Kitchener-Wilmot Hydro Inc.,2020,125,300,425,291859,382289,292091,76.405808171305,294883,389561,2970,0.762396646481552,1006,,1006,987,,987,1993,0,1993
Kitchener-Wilmot Hydro Inc.,2021,125,300,425,281071,361534,289376,80.0411579547152,284352,367426,293674,79.9273867390985,1003,,1003,997,,997,2000,0,2000
Lakefront Utilities Inc.,2015,28,0,28,42548,41683,38140,89.6399360722008,42548,42609,38555,90.4855781642376,,,142,,,50,,,192
Lakefront Utilities Inc.,2016,27.5,0,27.5,41183,43462,38733,89.1192305922415,41183,44782,39356,87.8835246304319,,,142,,,50,,,192
Lakefront Utilities Inc.,2017,27.5,0,27.5,40045,40516,37136,91.6576167440024,40045,41885,37703,90.0155186821058,,,156,,,63,,,219
Lakefront Utilities Inc.,2018,27.5,0,27.5,43382,45324,39768,87.7415938575589,43382,46509,40531,87.1465737814187,,,156,,,60,,,216
Lakefront Utilities Inc.,2019,27.5,0,27.5,43615,41163,38126,87.4148802017654,43622,43236,38770,88.8771720691394,156,,156,65,,65,221,0,221
Lakefront Utilities Inc.,2020,27.5,0,27.5,41349,44356,38923,87.7513752367211,41349,46215,39749,86.0088715784918,156,,156,65,,65,221,0,221
Lakefront Utilities Inc.,2021,27.64,0,27.64,40303,45113,38325,84.9533393921929,40303,46389,39006,84.0845890189485,158,,158,67,,67,225,0,225
Lakeland Power Distribution Ltd.,2015,19,144,163,57404,43127,40996,71.4166260190928,59005,44361,45686,77.4273366663842,,,277,,,90,,,367
Lakeland Power Distribution Ltd.,2016,19,144,163,48039,46425,41016,85.3806282395554,60137,46803,46705,77.6643331060745,,,271,,,86,,,357
Lakeland Power Distribution Ltd.,2017,19,128,147,50947,40433,38293,75.1624236952127,59880,42708,45002,75.1536406145625,,,271,,,87,,,358
Lakeland Power Distribution Ltd.,2018,19,128,147,55713,53388,43186,77.5151221438444,64661,54665,50475,78.060964105102,,,266,,,88,,,354
Lakeland Power Distribution Ltd.,2019,19,128,147,50163,45670,39175,78.0954089667683,56596,46981,46038,81.344971376069,263,,263,95,,95,358,0,358
Lakeland Power Distribution Ltd.,2020,19,128,147,46957,47322,39178,82.7902455517518,55704,48925,46954,84.2919718512136,262,,262,91,,91,353,0,353
Lakeland Power Distribution Ltd.,2021,19,128,147,45458,48124,39145,81.3419499625966,51626,49930,46008,89.1178863363422,261,,261,103,,103,364,0,364
London Hydro Inc.,2015,163,260,423,514046,638017,508251,79.6610435145145,538330,661102,520211,78.6884625972997,,,1367,,,1499,,,2866
London Hydro Inc.,2016,162.8,260.3,423.1,511359,683790,526861,77.0501177262025,537708,707205,536782,75.9018954899923,,,1372,,,1492,,,2864
London Hydro Inc.,2017,162.8,260.3,423.1,514321,633604,500813,79.0419568058283,535268,655151,509784,77.8116800554376,,,1366,,,1518,,,2884
London Hydro Inc.,2018,162.8,260.3,423.1,499887,689993,533040,77.2529576387007,529814,716060,544219,76.0018713515627,,,1383,,,1651,,,3034
London Hydro Inc.,2019,162.8,260.3,423.1,507683,647506,502272,77.5702464533147,512730,657266,510260,77.6337129868273,1393,,1393,1667,,1667,3060,0,3060
London Hydro Inc.,2020,162.8,260.3,423.1,456419,684146,502807,73.494107982799,457926,693661,510680,73.6209762405556,1390,,1390,1680,,1680,3070,0,3070
London Hydro Inc.,2021,162.8,260.3,423.1,454955,650777,504801,77.5689675572431,459216,662035,511780,77.3040700265092,1390,,1390,1687,,1687,3077,0,3077
Milton Hydro Distribution Inc.,2015,56,315,371,140401,166331,138091,83.0218059171171,141341,168414,139435,82.7929982067999,,,752,,,1703,,,2455
Milton Hydro Distribution Inc.,2016,56,315,371,137320,178292,143581,80.5313754963767,137921,180543,145321,80.4910741485408,,,748,,,1811,,,2559
Milton Hydro Distribution Inc.,2017,56,309,365,134788,162865,137197,84.2397077333988,135397,166034,138653,83.508799402532,,,749,,,1866,,,2615
Milton Hydro Distribution Inc.,2018,56,308,364,138718,180305,148454,82.3349324755276,139411,183462,150153,81.8441966183733,,,736,,,1915,,,2651
Milton Hydro Distribution Inc.,2019,56,312,368,145493,169704,139177,82.0116202328761,147848,173199,141782,81.8607497733821,596,173,769,501,1453,1954,1097,1626,2723
Milton Hydro Distribution Inc.,2020,56,312,368,143313,194762,148536,76.2653905792711,143700,198177,150168,75.7746862653083,608,173,781,508,1478,1986,1116,1651,2767
Milton Hydro Distribution Inc.,2021,83,285,368,140596,190210,150664,79.2092949897482,140596,194362,151870,78.1377018141406,611,173,784,523,1507,2030,1134,1680,2814
Newmarket-Tay Power Distribution Ltd.,2015,91,3,94,147773,173418,107303,61.8753531928635,147773,174398,107652,61.7277721074783,,,447,,,537,,,984
Newmarket-Tay Power Distribution Ltd.,2016,91,3,94,137775,179001,106982,59.7661465578405,137782,180233,107434,59.6083957987716,,,448,,,541,,,989
Newmarket-Tay Power Distribution Ltd.,2017,91,3,94,133456,166440,103067,61.9244172074021,133456,167334,103433,61.8123035366393,,,443,,,542,,,985
Newmarket-Tay Power Distribution Ltd.,2018,91,3,94,140147,182453,99455,54.5099285843478,140147,182966,99760,54.5237913054885,,,468,,,551,,,1019
Newmarket-Tay Power Distribution Ltd.,2019,94,3,97,136839,166024,95190,57.3350840842288,136854,167172,95722,57.2595889263752,469,,469,559,,559,1028,0,1028
Newmarket-Tay Power Distribution Ltd.,2020,91,3,94,128121,185068,95349,51.521062528368,131821,188400,96103,51.01008492569,470,,470,559,,559,1029,0,1029
Newmarket-Tay Power Distribution Ltd.,2021,91,3,94,128617,175686,95563,54.3942032945141,130752,176632,96259,54.4969201503691,466,,466,558,,558,1024,0,1024
Niagara Peninsula Energy Inc.,2015,68,759,827,195204,245124,192720,78.6214324178783,207295,259918,207013,79.6455035818989,,,1458,,,519,,,1977
Niagara Peninsula Energy Inc.,2016,68,759,827,182176,261493,198105,75.7591981429713,184993,264308,202330,76.5508421992524,,,1455,,,549,,,2004
Niagara Peninsula Energy Inc.,2017,68,759,827,185626,234890,186911,79.5738430754822,187565,238232,190946,80.1512811041338,,,1448,,,557,,,2005
Niagara Peninsula Energy Inc.,2018,68,759,827,186819,254506,201089,79.0114967820012,192525,262327,205481,78.3300994560225,,,1451,,,573,,,2024
Niagara Peninsula Energy Inc.,2019,68,759,827,189815,251133,191557,76.2771121278367,197346,256280,194920,76.0574371780865,1455,262,1717,586,909,1495,2041,1171,3212
Niagara Peninsula Energy Inc.,2020,68,759,827,176575,252115,186994,74.1701207782163,176864,256760,190024,74.0084125253155,1473,287,1760,598,929,1527,2071,1216,3287
Niagara Peninsula Energy Inc.,2021,68,759,827,177245,257792,187193,72.6139678500497,180036,262435,193687,73.8037990359518,1463,992,2455,585,1510,2095,2048,2502,4550
Niagara-on-the-Lake Hydro Inc.,2015,14,119,133,31939,42709,31907,74.7079069985249,31939,43895,33124,75.4618977104454,,,235,,,98,,,333
Niagara-on-the-Lake Hydro Inc.,2016,14,119,133,34820,45910,34552,75.2602918754084,34820,47702,35825,75.1016728858329,,,235,,,98,,,333
Niagara-on-the-Lake Hydro Inc.,2017,14,119,133,31220,39670,31948,80.5344088732039,32863,41660,33356,80.0672107537206,,,235,,,98,,,333
Niagara-on-the-Lake Hydro Inc.,2018,14,119,133,34662,52067,39060,75.0187258724336,37262,57367,44360,77.3266860738752,,,236,,,132,,,368
Niagara-on-the-Lake Hydro Inc.,2019,14,119,133,38880,49550,37498,75.6770938446014,38880,52967,39472,74.521872109049,236,,236,132,,132,368,0,368
Niagara-on-the-Lake Hydro Inc.,2020,14,119,133,33763,48809,36706,75.2033436456391,35742,52046,38257,73.5061291934058,232,,232,137,,137,369,0,369
Niagara-on-the-Lake Hydro Inc.,2021,14,119,133,32870,49789,35233,70.7646267247786,32935,51024,37155,72.818673565381,216,,216,109,,109,325,0,325
North Bay Hydro Distribution Limited,2015,51,279,330,106743,82078,80901,75.7904499592479,107646,83650,82122,76.2889471043978,,,496,,,76,,,572
North Bay Hydro Distribution Limited,2016,51,279,330,93764,81789,79288,84.5612388549977,94741,83320,80491,84.9589934663979,,,495,,,78,,,573
North Bay Hydro Distribution Limited,2017,51,279,330,93113,76815,76442,82.0959479342305,93738,78351,77549,82.7295227122405,,,495,,,79,,,574
North Bay Hydro Distribution Limited,2018,51,279,330,97822,84551,,,97995,85864,,,,,495,,,80,,,575
North Bay Hydro Distribution Limited,2019,51,279,330,99886,80442,78314,78.4033798530325,99886,81840,79075,79.1652483831568,494,,,79,,,573,0,573
North Bay Hydro Distribution Limited,2020,51,279,330,94066,85630,78095,83.0214955456807,94296,86460,78609,83.364087554085,493,,493,81,,81,574,0,574
North Bay Hydro Distribution Limited,2021,51,279,330,86662,84972,76180,87.9047333317948,86934,85896,76794,88.3359790185658,492,,492,82,,82,574,0,574
Northern Ontario Wires Inc.,2015,28,0,28,23679,19641,19931,84.1716288694624,23679,19641,19931,84.1716288694624,,,367,,,3,,,370
Northern Ontario Wires Inc.,2016,28,0,28,23251,19720,20020,86.1038234914627,23251,19720,20020,86.1038234914627,,,367,,,3,,,370
Northern Ontario Wires Inc.,2017,28,0,28,23708,21210,19318,81.4830436983297,23708,21210,19318,81.4830436983297,,,367,,,3,,,370
Northern Ontario Wires Inc.,2018,28,0,28,23485,18711,19431,82.737917819885,23485,18711,19431,82.737917819885,,,367,,,3,,,370
Northern Ontario Wires Inc.,2019,28,0,28,23352,18301,19047,81.5647482014389,23352,18301,19047,81.5647482014389,367,,367,3,,3,370,0,370
Northern Ontario Wires Inc.,2020,28,0,28,21659,19688,19245,88.8545177524355,21659,19688,19245,88.8545177524355,367,,367,3,,3,370,0,370
Northern Ontario Wires Inc.,2021,28,0,28,22199,20235,19341,87.1255461957746,22199,20235,19341,87.1255461957746,367,,367,3,,3,370,0,370
Oakville Hydro Electricity Distribution Inc.,2015,107,36,143,262334,340880,269928,79.1856371743722,262334,341182,270103,79.1668376409072,,,487,,,1359,,,1846
Oakville Hydro Electricity Distribution Inc.,2016,109,34,143,251532,373874,285934,76.4787067300749,251532,375360,286444,76.3118073316283,,,494,,,1389,,,1883
Oakville Hydro Electricity Distribution Inc.,2017,110,33,143,238190,312509,261711,83.7451081408855,238190,313427,262149,83.6395715748803,,,491,,,1421,,,1912
Oakville Hydro Electricity Distribution Inc.,2018,108,31,139,255182,364781,280162,76.8027940051702,255185,366131,280894,76.7195348113107,,,489,,,1425,,,1914
Oakville Hydro Electricity Distribution Inc.,2019,109,30,139,259547,337953,258581,76.5138939438324,259547,339413,259292,76.394245358899,489,,489,1425,,1425,1914,0,1914
Oakville Hydro Electricity Distribution Inc.,2020,110,29,139,233323,368091,263481,71.5803972387263,248298,370303,264051,71.3067406961326,494,,494,1506,,1506,2000,0,2000
Oakville Hydro Electricity Distribution Inc.,2021,111,28,139,231962,347190,265091,76.3532935856448,234671,348052,265820,76.3736453173664,494,,494,1517,,1517,2011,0,2011
Orangeville Hydro Limited,2015,17,0,17,43641,45023,40332,89.5808808831042,43641,45472,40491,89.0460063335679,,,78,,,131,,,209
Orangeville Hydro Limited,2016,17,0,17,41661,47804,41338,86.4739352355451,41661,48124,41550,86.3394564042889,,,78,,,138,,,216
Orangeville Hydro Limited,2017,17,0,17,41758,46147,39867,86.3913147116822,41758,46147,39867,86.3913147116822,,,77,,,144,0,0,221
Orangeville Hydro Limited,2018,17,0,17,42821,48441,42145,87.0027456080593,42821,48441,42145,87.0027456080593,,,77,,,145,0,0,222
Orangeville Hydro Limited,2019,17,0,17,43212,45153,39868,88.2953513609284,43212,45875,40073,87.3525885558583,75,,75,146,,146,221,0,221
Orangeville Hydro Limited,2020,17,0,17,42683,51287,41557,81.0283307660811,42683,52406,41757,79.679807655612,74,,74,148,,148,222,0,222
Orangeville Hydro Limited,2021,17,0,17,41873,49837,42117,84.5095009731726,41873,50595,42296,83.5971933985572,71,0,71,149,0,149,220,0,220
Oshawa PUC Networks Inc.,2015,71,78,149,203457,211375,184624,87.3442933175636,205040,213930,185067,86.5082036180059,,,521,,,441,,,962
Oshawa PUC Networks Inc.,2016,71,78,149,195540,221781,190039,85.6876828943868,196745,224194,191005,85.1963032016914,,,520,,,450,,,970
Oshawa PUC Networks Inc.,2017,71,78,149,189505,208627,174606,83.6929064790272,194082,211985,177344,83.6587494398189,,,520,,,460,,,980
Oshawa PUC Networks Inc.,2018,96.35,49.17,145.52,205043,232449,189873,81.6837241717538,209621,238104,194964,81.8818667473037,,,523,,,462,,,985
Oshawa PUC Networks Inc.,2019,96,49,145,200174,213296,173752,81.460505588478,204830,219095,178704,81.564618088044,547,,547,463,,463,1010,0,1010
Oshawa PUC Networks Inc.,2020,90.91,54.77,145.68,185396,244040,182856,74.9287002130798,190882,246807,186991,75.7640585558757,536,,536,470,,470,1006,0,1006
Oshawa PUC Networks Inc.,2021,91,55,146,175440,225300,178294,79.1362627607634,182630,232281,182620,78.6202918017401,528,,528,461,,461,989,0,989
Ottawa River Power Corporation,2015,35,0,35,34706,31003,28383,81.7812481991587,40334,35954,32985,81.7796400059503,,,152,,,26,,,178
Ottawa River Power Corporation,2016,35,0,35,37047,35163,30177,81.4559883391368,38103,35643,30837,80.9306353830407,,,152,,,26,,,178
Ottawa River Power Corporation,2017,35,0,35,34903,31424,26943,77.1939374838839,39127,38384,32535,83.1522989240167,,,364,,,126,,,490
Ottawa River Power Corporation,2018,35,0,35,40812,42344,31702,74.8677498583034,52220,50359,42348,81.0953657602451,,,364,,,126,,,490
Ottawa River Power Corporation,2019,35,0,35,35702,34100,27767,77.774354377906,41522,40578,32293,77.7732286498724,158,208,366,42,102,144,200,310,510
Ottawa River Power Corporation,2020,35,0,35,31921,35988,27330,75.9419806602201,34936,36163,31338,86.6576334927965,158,208,366,42,102,144,200,310,510
Ottawa River Power Corporation,2021,35,0,35,31921,35988,27330,75.9419806602201,34936,36163,31338,86.6576334927965,158,208,366,42,102,144,200,310,510
PUC Distribution Inc.,2015,58,284,342,138336,91679,103894,75.102648623641,138382,97144,105577,76.2938821523031,,,622,,,122,0,0,744
PUC Distribution Inc.,2016,58,284,342,125305,90384,100106,79.8898687203224,125408,101247,102274,81.5530109721868,,,621,,,122,0,0,743
PUC Distribution Inc.,2017,58,284,342,125683,90753,96500,76.7804715037038,125843,95541,99477,79.0484969366592,,,617,,,123,0,0,740
PUC Distribution Inc.,2018,58,284,342,128538,91500,97157,75.5862079696277,128698,98746,100524,78.1084399135962,,,618,,,122,0,0,740
PUC Distribution Inc.,2019,58,284,342,132818,84220,97163,73.154994052011,132939,91848,98938,74.423607820128,616,,616,122,,122,738,0,738
PUC Distribution Inc.,2020,58,284,342,112835,90164,93568,82.9246244516329,112941,101419,96863,85.7642485899718,615,,615,123,,123,738,0,738
PUC Distribution Inc.,2021,58,284,342,111371,90881,92284,82.8617862818867,111904,98972,95101,84.984450957964,614,1,615,124,0,124,738,1,739
Renfrew Hydro Inc.,2015,13,0,13,15138,16080,13178,81.952736318408,15935,16080,13973,86.8967661691542,,,72,,,7,,,79
Renfrew Hydro Inc.,2016,13,0,13,12960,15052,12652,84.0552750465055,15594,16432,14657,89.1979065238559,,,72,,,8,,,80
Renfrew Hydro Inc.,2017,13,0,13,12992,13888,11876,85.5126728110599,14658,15929,14252,89.4720321426329,,,72,,,8,,,80
Renfrew Hydro Inc.,2018,13,0,13,13536,15626,12790,81.8507615512607,15685,16843,14459,85.845751944428,,,73,,,8,,,81
Renfrew Hydro Inc.,2019,13,0,13,14544,14253,12381,85.1278877887789,15877,15691,13890,87.4850412546451,73,,73,8,,8,81,0,81
Renfrew Hydro Inc.,2020,13,0,13,13283,15232,12002,78.7946428571429,14787,16864,14204,84.2267552182163,73,,73,8,,8,81,0,81
Renfrew Hydro Inc.,2021,13,0,13,12934,15453,12028,77.8360188960073,14561,16008,13838,86.4442778610695,73,,73,8,,8,81,0,81
Rideau St. Lawrence Distribution Inc.,2015,11,7,18,21723,28953,20491,70.7733222809381,21752,28991,20531,70.8185298885861,,,93,,,12,,,105
Rideau St. Lawrence Distribution Inc.,2016,11,7,18,19707,24788,18314,73.8825238018396,19728,24825,18353,73.9295065458207,,,95,,,12,,,107
Rideau St. Lawrence Distribution Inc.,2017,11,7,18,23593,19093,17777,75.3486203534947,23621,19129,17811,75.4032428771009,,,95,,,12,,,107
Rideau St. Lawrence Distribution Inc.,2018,11,7,18,20206,19566,17629,87.2463624665941,20225,19609,17663,87.3325092707046,,,95,,,12,,,107
Rideau St. Lawrence Distribution Inc.,2019,11,7,18,20248,18760,17001,83.9638482813117,20267,18797,17037,84.0627621256229,95,0,95,12,0,12,107,0,107
Rideau St. Lawrence Distribution Inc.,2020,,0,,18945,20242,17666,87.2739847841122,18971,20278,17697,87.2719203077227,95,,95,12,,12,107,0,107
Rideau St. Lawrence Distribution Inc.,2021,18,0,18,20489,20109,17387,84.8601688711016,20520,20135,17423,84.9074074074074,98,0,98,15,0,15,113,0,113
Sioux Lookout Hydro Inc.,2015,6,530,536,21167,10244,13827,65.3233807341617,21167,10244,13827,65.3233807341617,,,256,,,19,,,275
Sioux Lookout Hydro Inc.,2016,6,530,536,17931,9528,12582,70.1689810941944,17931,9528,12582,70.1689810941944,,,256,,,19,,,275
Sioux Lookout Hydro Inc.,2017,6,533,539,19015,8159,12752,67.0628451222719,19015,8159,12752,67.0628451222719,,,644,,,67,,,711
Sioux Lookout Hydro Inc.,2018,6,533,539,19081,9221,13086,68.5813112520308,19081,9221,13086,68.5813112520308,,,644,,,67,,,711
Sioux Lookout Hydro Inc.,2019,6,533,539,21743,9466,13787,63.408913213448,21743,9466,13787,63.408913213448,589,56,645,21,46,67,610,102,712
Sioux Lookout Hydro Inc.,2020,6,533,539,19523,8595,12911,66.1322542642012,19523,8595,12911,66.1322542642012,589,56,645,21,46,67,610,102,712
Sioux Lookout Hydro Inc.,2021,6,533,539,20926,9108,13387,63.9730478830163,20926,9108,13387,63.9730478830163,589,56,645,21,46,67,610,102,712
Synergy North Corporation,2015,203,208,411,199210,156813,140881,70.7198433813564,200842,167478,146195,72.7910496808436,,,1011,,,268,,,1279
Synergy North Corporation,2016,203,208,411,187419,153293,134780,71.9137333994952,189330,171453,136747,72.2267997676016,,,1021,,,265,,,1286
Synergy North Corporation,2017,203,208,411,172966,153825,131804,76.2022594035822,179824,166536,139802,77.7437939318445,,,993,,,264,,,1257
Synergy North Corporation,2018,203,208,411,184533,153623,135250,73.2931237231281,187367,168158,143963,76.8347681288594,,,985,,,267,,,1252
Synergy North Corporation,2019,203,208,411,180436,145528,147504,81.7486532620985,185879,160330,156141,84.0014202787835,997,,,271,,,1268,0,1268
Synergy North Corporation,2020,203,208,411,163651,152810,140845,86.0642464757319,168728,168553,149339,88.5087241003272,991,,991,275,,275,1266,0,1266
Synergy North Corporation,2021,143,298,441,167439,157028,144332,86.1997503568464,172959,172977,153653,88.8285725847945,987,,987,274,,274,1261,0,1261
Tillsonburg Hydro Inc.,2015,22,2,24,31164,37797,31726,83.9378786676191,31618,38871,32715,84.1630006946052,,,78,,,56,,,134
Tillsonburg Hydro Inc.,2016,22,2,24,30880,38980,32395,83.1067213955875,31524,40060,33422,83.4298552171742,,,78,,,56,,,134
Tillsonburg Hydro Inc.,2017,22,2,24,30096,35939,30786,85.6618158546426,30156,36963,31823,86.0942023104185,,,75,,,59,,,134
Tillsonburg Hydro Inc.,2018,22,2,24,29748,36175,32312,89.3213545266068,30683,37198,33316,89.5639550513468,,,76,,,60,,,136
Tillsonburg Hydro Inc.,2019,22,2,24,29913,34047,29006,85.1939965342027,31019,35145,30036,85.4630815194196,71,,71,61,,61,132,0,132
Tillsonburg Hydro Inc.,2020,22,2,24,28861,36683,29259,79.7617424965243,29969,37789,30306,80.1979411998201,15,55,70,52,10,62,67,65,132
Tillsonburg Hydro Inc.,2021,22,2,24,28381,37040,27207,73.4530237580994,29264,38118,28174,73.9125872291306,14,53,67,63,9,72,77,62,139
